date,volume,volatility,weightedAverage,close,open,high,low
2017-01-01T03:30:00.0,66617.44679793,3.074947483635961,963.5976905675,960.54319521,965.00000055,968.0,957.02
2017-01-01T07:30:00.0,59615.94768716999,1.9101626076226204,963.8221398575,967.8,960.97761407,967.99989999,960.19226674
2017-01-01T11:30:00.0,104792.58569929001,5.2030335768127305,968.5915078925,974.51000806,966.99999999,976.301,962.72003911
2017-01-01T15:30:00.0,84134.15709082001,2.3193091900063605,975.27706905125,979.15442978,974.51001253,980.00000001,970.71223893
2017-01-01T19:30:00.0,383279.0880947,4.698103387134764,995.164776725,999.70000119,979.15442979,1002.0,979.15442979
2017-01-01T23:30:00.0,498429.03621876996,2.9236185924910325,1003.1948071449999,999.36463982,997.90001872,1008.54999326,993.71208086
2017-01-02T03:30:00.0,207130.83806441003,7.076655659746556,1002.8345104175,1012.99999844,999.92218873,1017.0,997.11485556
2017-01-02T07:30:00.0,127753.7630719,2.1978028595795673,1014.14013101125,1018.92603154,1011.70463477,1019.94999999,1005.36570622
2017-01-02T11:30:00.0,229479.26243196003,7.4822963272068685,1020.2591726325,1033.5,1019.0,1034.32896003,1011.0
2017-01-02T15:30:00.0,459824.80252166,7.331585837658235,1023.0886463262499,1028.0,1033.5,1033.9990995,1000.00000001
2017-01-02T19:30:00.0,350326.4496048,5.381069607190016,1024.8350582,1013.66007041,1027.53000002,1033.9990995,1011.0713565
2017-01-02T23:30:00.0,473266.27064998,4.66595934127484,1016.393518425,1019.00000076,1012.18140289,1025.0,994.00000044
2017-01-03T03:30:00.0,155339.56674550998,2.941804878386009,1025.1885682025,1027.90845791,1019.00000076,1030.35455897,1018.00000023
2017-01-03T07:30:00.0,168417.71055693,3.183251067022591,1023.74456898375,1020.60000451,1028.36329008,1028.999,1015.40000001
2017-01-03T11:30:00.0,246347.45472239002,3.639821425386691,1017.9189658775,1020.44,1021.99999999,1025.00000491,1010.0
2017-01-03T15:30:00.0,240089.88211411,3.222138696152587,1018.33735631625,1018.06785697,1020.44,1025.98126518,1012.23593031
2017-01-03T19:30:00.0,201160.02312690997,2.4713728625920424,1019.16462511125,1023.29999998,1017.99999999,1025.5,1013.0
2017-01-03T23:30:00.0,355886.50779691,5.267449995863429,1028.103831195,1037.1,1023.0,1042.02336482,1016.93177388
2017-01-04T03:30:00.0,224799.79746387,3.1903604869877604,1043.57138978375,1050.56828404,1037.1,1052.86383786,1035.9006986
2017-01-04T07:30:00.0,284643.30707802,3.20932952364326,1056.83409440875,1058.41310249,1048.77041661,1065.0,1044.68794903
2017-01-04T11:30:00.0,428424.32139516,9.915743155912715,1067.74141403875,1079.99999989,1058.41310249,1086.48000004,1055.00000001
