time,txt,name,username,likes,retweets,replies
2019-12-22 00:25:54 GMT,#Ripple &amp; #XRP got a lot of mainstream news coverage because of the 200 Million Series C Round  I’m hoping that piqued the curiosity of many people to do some research so they can start buying $XRP this upcoming week because we definitely need new money to enter the #Crypto space,XRPcryptowolf,xrpcryptowolf,217.0,32.0,17.0
2019-12-10 10:32:55 GMT,"In your opinion ,which #cryptocurrency can get you 10x ROI in 2020 ? Comment why you think so and RT ...  #btc #bitcoin #xrp #Ripple #crypto #CasinoCoin #ravencoin #csc #rvn",Marco.hodl ⚡🇵🇱 🇱🇧,marco_bdl,18.0,34.0,15.0
2019-12-09 15:01:51 GMT,"🔵 Top #XRP News 🔵  - Bank of America cited the particular role expected of Ripple’s cross‐border solution  -XRP to be listed on biggest crypto exchange in Malaysia  - Digital B2B merchant banking platform, ""3S Money Club"" joins RippleNet  - Crypto payments now legal in Ukraine",HODL,hodlstyle,44.0,13.0,4.0
2019-12-09 21:08:23 GMT,"Its Xmas time! Time for a #giveaway! Its been a long time!  Retweet, follow and tag 3 friends!  I will give away 1000 #xrp to one random person! #ripple I will also give away 100 $xrp to 10 individuals, again at random! Time to give 👌🏻 #Crypto #xrpcommmunity #xrpthestandard",Cryptorado,cryptorado1,232.0,191.0,361.0
2019-12-06 15:40:10 GMT,"To celebrate 500 followers, i'm giving away 10$ worth of $xrp   1.Follow 2.Tag 3 friends 3. Like &amp; Retweet  #Crypto #Bitcoin  #XRP #Ripple  #giveaway #GiveawayAlert  #GiveawayEveryDayUntilChristmas  #giveawayaccurate #follow #RETWEEET",InfiniteSoul,peterb33333,91.0,80.0,152.0
2019-11-21 17:28:17 GMT,👅THIRD SWEET TIPS GIVEAWAY   🆘UP FOR GRABS 15 #Ripple #XRP   🔮SIMPLY RULES:  💎RETWEET THIS 💎FOLLOW @CryptoPussyCash  💎TAG 1 OR MORE FRIENDS   ⏳END IN ONE WEEK  🍀GOOD LUCK TO ALL  👄#giveaways #blockchain #Crypto,🌹C.P.Seduction🌹,cpseduction,108.0,103.0,186.0
2019-11-18 23:58:54 GMT,I believe #Ripple is “future proofing” banks by providing the best of both worlds🤫😉  1. Tech that doesn’t “have to” utilize crypto but is superior to legacy tech🎂  2. Tech that interoperates with #XRP when digital assets truly go mainstream🎂  It’s a “win win” for the banks🙂,🌋KingSolomon🌋,xrp_owl,132.0,25.0,8.0
2019-11-10 19:19:37 GMT,👅2ND SWEET TIPS GIVEAWAY   🦀UP FOR GRABS 15 #Ripple #XRP   👑EASY RULES:  🐳RETWEET THIS 🐳FOLLOW @CryptoPussyCash  🐳TAG 1 FRIEND  🐙WINNER ANNOUNCED IN 1 WEEK  ☀️GOOD LUCK TO ALL  🌳#GIVEAWAY #Crypto,🌹C.P.Seduction🌹,cpseduction,146.0,154.0,263.0
2019-11-01 20:06:45 GMT,"I would find it strange for #XRP to dump before SWELL. If I were Ripple, I would rather XRP either stay stable or see some green days during this time. Who knows though. The Crypto Market is the epitome of volatile &amp; unpredictable.",Kevin Cage,kevin_cage_,201.0,11.0,34.0
2019-10-10 00:13:27 BST,Someone who has no knowledge about #crypto currencies just told me that he heard that #XRP is better than #Bitcoin.   In Serbian Television.   #ripple,C3|Nik (not investment advice),c3_nik,329.0,19.0,13.0
2019-10-08 22:24:49 BST,"“XRP is the only example in crypto that is being used in production at the enterprise level.”   ~Brad Garlinghouse, CEO Ripple",🇺🇦 HASHR Capital 🇺🇸🇮🇪,khughbreslin,397.0,65.0,13.0
2019-10-08 23:58:50 BST,"Ripple has ""basically stopped all"" OTC. There is enough liquidity out there. Sales that do exist are going mostly to Crypto Hedge Funds. (per interview). Complete recap coming in today's video. #XRP",CryptoEri 185k+ Followers (beware of imposters),sentosumosaba,783.0,191.0,26.0
2019-10-01 04:33:32 BST,I’m giving $XRP to EVERYONE who Retweets this within the next 24 hours to show how amazing #XRP is and why it’s the #1 Digital Asset!  (Must be following for a TIP!)  • #btc $btc #crypto #CryptoNews #cryptocurrencies #eth $eth #ltc $ltc @ripple #giveaways #DigitalAssets #altcoin,Lonely Fish,thinhq86,153.0,205.0,148.0
