time,txt,name,username,likes,retweets,replies
2017-12-31 08:05:33 GMT,"The only thing I want for the New Year is 4 @yoshitaka_kitao to give me a follow - I have tremendous respect 4 what this individual has done 4 #blockchain &amp; #crypto and in specifically with @Ripple and #xrp- You sir, are helping change the world - Happy New Year to You @sbigroup",TB,tbcrypto,65.0,16.0,5.0
2017-12-31 14:23:57 GMT,There is currently a poll that’s running on binance to list a new coin! what do you prefer?  #bitcoin #litecoin #ethereum #bitcoincash #crypto #btc #ltc #cryptocurrency #digibyte #dgb  #hodl #hold #ether #XVG #trx #verge #coinbase  #XLM #Ripple #XRP #xp @thebigxp,Decentralized era,crypto2i,35.0,23.0,10.0
2017-12-31 16:53:21 GMT,New Year Giveaway!!!  I've decided to send $250 of #cryptocurrency of the winners choice. To qualify:  1) Retweet or quote this tweet &amp; reply which crypto you would like.  2) Follow this account  3) Winner announced 1/15/2018  #XRP #BTC #ETH #LTC #LEND #TRX #cnd #Ripple #bitcoin,Ty,t_griff14,109.0,139.0,139.0
2017-12-30 00:51:42 GMT,Lots of positive articles about #ripple lately. Yet all we read about #decentralised #Bitcoin is negative? Do we really want a world where the #Banks control #Crypto??? $XRP $BTC,Alex Saunders 🇦🇺👨‍🔬,alexsaundersau,86.0,21.0,17.0
2017-12-30 08:23:17 GMT,"What you should know about Ripple $XRP: 😳⚠️  It's NOT decentralized.  It's NOT a privacy coin.  It was created for big banks and they love it.  It's pro-government  It's anti-libertarian, anti-freedom, anti-liberty and everything the libertarian crypto movement stands for.",Seb Cavlov,sebcavlov,45.0,22.0,15.0
2017-12-30 17:51:13 GMT,"There's a lot of jealousy and hatred in the crypto world. As Ripple/XRP succeeds, you'll see more and more people try to spread hate and misinformation about it. Do your own research and you'll see why Ripple/XRP is best positioned to succeed in 2018 and beyond.   #xrp #ripple",Fintwit,fintwit_news,150.0,68.0,12.0
2017-12-30 19:27:14 GMT,"Ripple has the most legendary team in the crypto space, no doubt about that.   #xrp #xrpthestandad #ripple",Fintwit,fintwit_news,86.0,17.0,4.0
2017-12-30 22:24:42 GMT,"My $XRP price prediction for 2018 was $5.00 but after seeing how we almost hit $3.00 in such a short matter, i think XRP could hit $10/20 in 2018.   #XRP #Ripple #xrpthestandard #crypto #ethereum #cryptocurrency",XRPworld⚡️,xrpworld,174.0,48.0,24.0
2017-12-28 21:27:19 GMT,I believe we're approaching the phase where $XRP gets de-coupled from #Bitcoin volatility and can run freely.  Still think #Ripple might surpass $BTC in 2018.  We'll see... #XRP #crypto,Dave Jones,dave_jonez_02,207.0,41.0,21.0
2017-12-27 20:10:47 GMT,"Once again, the crypto market is down except for XRP. Digital assets with true utility and use case will win in the end.   We're taking the #2 spot very soon.   #xrp #xrpthestandard #ripple",Fintwit,fintwit_news,47.0,15.0,1.0
2017-12-22 04:35:36 GMT,As everyone know is have a lot of litecoin doing well again I will give one away to a lucky winner who follows me and retweets this tweet #cryptocurrency #Crypto #Litecoin #LTC #Bitcoin #BitcoinCash #Ripple #xrp #ripple,ralf,ralffreedman,22.0,25.0,6.0
2017-12-21 18:26:02 GMT,Crypto news: New decentralized trading platform that will run on Ethereum network mid 2018. TRX gets on a new exchange to handle more volume with a big announcement Dec 29th 👀. Ripple XRP is still a good buy.  The bear market is around the corner get ready. - @6BillionPeople,MarQuis Trill | Cryptocurrency & Blockchain Mentor,6billionpeople,184.0,49.0,31.0
2017-12-19 13:48:26 GMT,Which altcoin will benefit most if the Bitcoin bubble burst? #bch #ltc #dash #ada #iot #Cardano #IOTA #ltc #eth #monero #xmr #litecoin #bitcoin #ethereum #trx #tron #xlm #StellarLumens #btc #neo #NEOcoin #cme #xrp #etc #coinbase #ripple #follow # predict crypto with polls,Jim Lovell,jimlovelll,29.0,16.0,7.0
2017-12-12 04:02:19 GMT,"The beauty behind #XRP is that if the bitcoin bubble pops, #XRP will still stand strong. This is because it is backed by true utility and regulation. Easily the safest investment in crypto right now,   #xrp #xrpthestandard #ripple",Fintwit,fintwit_news,36.0,14.0,6.0
2017-12-08 00:25:07 GMT,Its Happening.. Literally right now! The Escrow!! XRP to the MOON baby!!! After all the hate on xrp 😂😂😂 now everyone is buying.. Ripple FTW!!  #crypto #ripple #xrp #CryptoMarkets #cryptocurrency #bitcoin,Jaime Neufer (ZerpGod),jaimeneufer,27.0,14.0,3.0
2017-12-08 07:43:22 GMT,"Ripple's escrow transactions of 1,000,000,000 XRP (around $250m) costed around 0.05 XRP in fees which equals to $0.0125.  XRP is the future.  #Escrow #XRP #ripple $XRP #xrpthestandard #cryptocurrency #crypto",XRPworld⚡️,xrpworld,109.0,46.0,4.0
2017-11-26 22:40:16 GMT,Add $XRP to buy on @coinbase  #xrp $crypto #crypto #btc $btc #xrpthestandard #ripple @ripple,Mickey Cohen,cryptocohen,37.0,27.0,6.0
