dateTime,volume,weightedAverage,close,high,low,open,year,month,day,hour
2021-01-01 01:00:00,2425356.04268049,29089.84112273,29380.44014802,29408.6887245,28836.78561237,28836.78561237,2021,1,1,1
2021-01-01 02:00:00,2034385.43142282,29362.761294985,29291.09250638,29482.99999999,29200.0,29408.68872451,2021,1,1,2
2021-01-01 03:00:00,953237.35348369,29240.455725935,29205.40134336,29329.53481553,29134.37829653,29274.4011021,2021,1,1,3
2021-01-01 04:00:00,1452587.95270731,29313.381030845,29341.74244318,29390.0,29180.30690668,29211.98347854,2021,1,1,4
2021-01-01 05:00:00,782100.19747134,29189.052881885,29158.82160499,29369.99999999,29074.5239605,29369.99999999,2021,1,1,5
2021-01-01 06:00:00,314808.62247143,29196.021318995,29113.4226911,29255.97899467,29113.4226911,29165.94038154,2021,1,1,6
2021-01-01 07:00:00,1260193.20200201,29090.551285375,29005.76697218,29199.80267977,28825.56600872,29110.53168241,2021,1,1,7
2021-01-01 08:00:00,582392.9486988699,29036.86766703,29038.14470215,29170.8412778,28877.85442917,29012.91651094,2021,1,1,8
2021-01-01 09:00:00,1311396.46814068,29096.878272795,29193.86444841,29221.79690338,28931.40001041,29038.1446621,2021,1,1,9
2021-01-01 10:00:00,1171582.11084168,29240.4146344,29234.81427627,29329.68343113,29174.15368043,29181.48755527,2021,1,1,10
2021-01-01 11:00:00,424626.43435002,29286.85835206,29353.99155048,29364.65803867,29211.19197962,29231.88893694,2021,1,1,11
2021-01-01 12:00:00,738708.0962902801,29317.55490075,29442.39009689,29447.84640183,29196.67500644,29365.02878512,2021,1,1,12
2021-01-01 13:00:00,2237489.9309276603,29357.98962286,29379.06618771,29599.0,29168.89217306,29447.84640182,2021,1,1,13
2021-01-01 14:00:00,1095966.96006891,29425.017410285,29424.93999496,29523.88382705,29363.03437972,29395.72632196,2021,1,1,14
2021-01-01 15:00:00,939191.51267823,29338.32955125,29296.08289498,29437.91058194,29227.36966422,29421.99770792,2021,1,1,15
2021-01-01 16:00:00,1123748.13939164,29190.31757207,29272.391076,29309.68984068,29038.91103441,29295.98288499,2021,1,1,16
2021-01-01 17:00:00,350739.63866067,29291.91487289,29273.9862889,29347.23540111,29239.31956759,29272.391076,2021,1,1,17
2021-01-01 18:00:00,3343418.14197194,29093.877742025,29033.518176,29272.71760189,28956.56715732,29272.71760189,2021,1,1,18
2021-01-01 19:00:00,2531259.46626626,28973.45986002,29061.01308683,29113.3483596,28656.9035239,29030.00000001,2021,1,1,19
2021-01-01 20:00:00,883072.48533116,29099.282194515,29222.40919118,29236.1874938,28918.85450487,29047.51458271,2021,1,1,20
2021-01-01 21:00:00,767215.42139496,29207.988029585,29226.9773014,29279.25053437,29163.0,29222.40918118,2021,1,1,21
2021-01-01 22:00:00,764427.9349955199,29210.144348895,29264.13217445,29296.64549988,29114.67605841,29226.97730139,2021,1,1,22
2021-01-01 23:00:00,247284.8211148,29284.8477414,29273.09999999,29315.45681252,29238.27593517,29259.25531504,2021,1,1,23
2021-01-02 00:00:00,2144100.34078066,29174.53302488,28999.99999999,29330.13585741,28963.7,29273.1,2021,1,2,0
2021-01-02 01:00:00,577248.13046757,29135.45876143,29207.48879746,29231.72354873,28967.47309052,29000.0,2021,1,2,1
2021-01-02 02:00:00,1362585.04865591,29365.25253582,29380.6979863,29450.99999999,29208.50441034,29208.50441034,2021,1,2,2
2021-01-02 03:00:00,426163.78236094,29351.889029405,29301.34094,29418.18606343,29274.5276627,29407.26256071,2021,1,2,3
2021-01-02 04:00:00,234510.72414623,29295.834413125,29302.3446705,29352.87980208,29214.36714257,29303.0421376,2021,1,2,4
2021-01-02 05:00:00,585582.46065259,29381.054537685,29491.10020621,29491.10020621,29240.4156726,29295.5943701,2021,1,2,5
2021-01-02 06:00:00,3741051.42540785,29572.01237389,29647.03535213,29666.0,29453.8553113,29476.90519451,2021,1,2,6
2021-01-02 07:00:00,1656334.98575058,29696.164262505,29704.53602685,29763.0,29556.24811246,29650.0,2021,1,2,7
2021-01-02 08:00:00,1133861.24327508,29755.406827455,29712.88074445,29828.79999999,29640.00787896,29710.59764999,2021,1,2,8
2021-01-02 09:00:00,748460.58175944,29786.828692995,29689.95041425,29850.0,29640.00787897,29708.4638925,2021,1,2,9
2021-01-02 10:00:00,2878631.04610956,29719.53335411,29765.41675123,29890.0,29458.0,29684.22180153,2021,1,2,10
2021-01-02 11:00:00,482070.92707748,29706.2823625,29659.18019228,29772.0,29625.17755749,29771.21104379,2021,1,2,11
2021-01-02 12:00:00,5211298.610052659,29869.54160922,30264.96057519,30350.0,29644.9906205,29647.51584103,2021,1,2,12
2021-01-02 13:00:00,8265584.110365679,30629.689808005,30835.21197932,31000.0,30138.54282696,30264.96057519,2021,1,2,13
2021-01-02 14:00:00,5356600.26903908,31232.586143365,31089.95134312,31526.62,30755.88578687,30835.21197932,2021,1,2,14
2021-01-02 15:00:00,2290894.85762683,31247.09773277,31360.11356667,31398.34874945,31076.89253813,31076.89253813,2021,1,2,15
2021-01-02 16:00:00,5976814.04118537,31848.75933876,32300.0,32400.0,31338.9939186,31360.11356667,2021,1,2,16
2021-01-02 17:00:00,4965671.77930162,32584.737593275,32604.18401337,32999.0,32141.8263339,32300.0,2021,1,2,17
