,date,volume,volatility,weightedAverage,close,open,high,low
0,2017-01-01T01:30:00.0,24033.08385059,1.1227539607731858,964.8598105725,966.75,965.00000055,967.0,961.7
1,2017-01-01T03:30:00.0,42584.36294734,2.8475381616945974,962.3355705624999,960.54319521,966.99999999,968.0,957.02
2,2017-01-01T05:30:00.0,39965.22611122,1.2038435108103491,963.0288037875,964.50000015,960.97761407,967.46186749,960.19226674
3,2017-01-01T07:30:00.0,19650.721575949996,2.2030212307002075,964.6154759275,967.8,964.49999766,967.99989999,962.61528653
4,2017-01-01T09:30:00.0,23073.87040706,0.3715421395373961,964.6610114624999,963.85195701,966.99999999,967.85,962.72003911
5,2017-01-01T11:30:00.0,81718.71529223,1.5884052430244076,972.5220043224999,974.51000806,965.61528862,976.301,964.67378955
6,2017-01-01T13:30:00.0,12385.898489250001,1.5529979003124108,974.1763909125,974.99999999,974.51001253,976.301,970.71223893
7,2017-01-01T15:30:00.0,71748.25860157,1.782729051934845,976.37774719,979.15442978,973.73407716,980.00000001,972.54763186
8,2017-01-01T17:30:00.0,218056.30931105,5.612430277451042,992.1971766475001,994.29353106,979.15442979,999.9,979.15442979
9,2017-01-01T19:30:00.0,165222.77878365,1.4590920876774565,998.1323768025,999.70000119,993.00000159,1002.0,993.00000159
10,2017-01-01T21:30:00.0,159561.34911814998,2.139455671368675,1003.5333796699999,1005.99999956,997.90001872,1008.54999326,997.90001872
11,2017-01-01T23:30:00.0,338867.68710062,3.5025710353752824,1002.85623462,999.36463982,1005.99999939,1007.40360648,993.71208086
12,2017-01-02T01:30:00.0,76089.40994375001,1.6436824777013745,999.22716607,998.79014392,999.92218873,1002.29527406,997.11485556
13,2017-01-02T03:30:00.0,131041.42812066001,6.57012062191827,1006.441854765,1012.99999844,1001.99999991,1017.0,997.18400001
14,2017-01-02T05:30:00.0,53013.21216845,1.9313712978213207,1014.5407339400001,1014.78896246,1011.70463477,1017.99999999,1005.36570622
15,2017-01-02T07:30:00.0,74740.55090345,2.6781961521022195,1013.7395280825,1018.92603154,1013.45820897,1019.94999999,1010.0
16,2017-01-02T09:30:00.0,97897.90603497,3.160420188050816,1015.3834978325,1019.81726804,1019.0,1020.0,1011.0
17,2017-01-02T11:30:00.0,131581.35639699,5.8410226799947695,1025.1348474325,1033.5,1019.81726794,1034.32896003,1017.96518928
